python3 featureextract.py 
{'slip': 3.9497753066396334e-07, 'pose': (-0.002350428654126435, 0.0032812359138083276)}
{'slip': 3.951110927001719e-07, 'pose': (-0.0023513819391034786, 0.0032827208894700066)}
{'slip': 3.952446547949322e-07, 'pose': (-0.0023523352585734306, 0.0032842058583506654)}
{'slip': 3.9537820905035256e-07, 'pose': (-0.002353288612536037, 0.003285690820449965)}
{'slip': 3.955117675839095e-07, 'pose': (-0.002354242000991028, 0.0032871757757675637)}
{'slip': 3.9564531964937785e-07, 'pose': (-0.0023551954239381502, 0.003288660724303133)}
{'slip': 3.9577885484605403e-07, 'pose': (-0.002356148881377143, 0.003290145666056355)}
{'slip': 3.959124037689426e-07, 'pose': (-0.0023571023733077465, 0.003291630601026869)}
{'slip': 3.960459528370582e-07, 'pose': (-0.0023580558997296957, 0.0032931155292143495)}
{'slip': 3.9617950449799787e-07, 'pose': (-0.002359009460642723, 0.003294600450618457)}
{'slip': 3.963130582894331e-07, 'pose': (-0.0023599630560465707, 0.0032960853652388455)}
{'slip': 3.9642456629365594e-07, 'pose': (-0.0023607593346324507, 0.003297325263749535)}
{'slip': 3.965801551901738e-07, 'pose': (-0.002361870350325708, 0.0032990551741271246)}
{'slip': 3.9671370438719353e-07, 'pose': (-0.002362824049200468, 0.00330054006839434)}
{'slip': 3.968472532219234e-07, 'pose': (-0.0023637777825650103, 0.0033020249558764836)}
{'slip': 3.9698080111923227e-07, 'pose': (-0.0023647315504190733, 0.0033035098365732213)}
{'slip': 3.9711433936741817e-07, 'pose': (-0.0023656853527624, 0.0033049947104842247)}
{'slip': 3.972478860203116e-07, 'pose': (-0.0023666391895947178, 0.003306479577609147)}
{'slip': 3.973814313243124e-07, 'pose': (-0.0023675930609157797, 0.0033079644379476417)}
{'slip': 3.975149734421249e-07, 'pose': (-0.002368546966725309, 0.003309449291499362)}
{'slip': 3.9764851517280857e-07, 'pose': (-0.0023695009070230635, 0.003310934138263981)}
{'slip': 3.9778204951341126e-07, 'pose': (-0.0023704548818087668, 0.0033124189782411644)}
{'slip': 3.979155972552994e-07, 'pose': (-0.0023714088910821675, 0.0033139038114305837)}
{'slip': 3.9804912922754874e-07, 'pose': (-0.002372362934843001, 0.003315388637831905)}
{'slip': 3.981826753325085e-07, 'pose': (-0.0023733170130910072, 0.0033168734574447745)}
{'slip': 3.9831621112023665e-07, 'pose': (-0.0023742711258259276, 0.0033183582702688516)}
{'slip': 3.984497408174846e-07, 'pose': (-0.0023752252730475003, 0.0033198430763038194)}
{'slip': 3.9858328263447676e-07, 'pose': (-0.00237617945475546, 0.0033213278755493177)}
{'slip': 3.9871680977849907e-07, 'pose': (-0.0023771336709495433, 0.003322812668005003)}
{'slip': 3.9885032037315057e-07, 'pose': (-0.0023780879216294968, 0.003324297453670563)}
{'slip': 3.9898385109198967e-07, 'pose': (-0.0023790422067950555, 0.003325782232545651)}
{'slip': 3.991173756275235e-07, 'pose': (-0.0023799965264459603, 0.0033272670046299267)}
{'slip': 3.992509107808041e-07, 'pose': (-0.0023809508805819517, 0.0033287517699230524)}
{'slip': 3.993844401781875e-07, 'pose': (-0.0023819052692027652, 0.0033302365284247084)}
{'slip': 3.9951796765721837e-07, 'pose': (-0.002382859692308144, 0.003331721280134533)}
{'slip': 3.996514936536534e-07, 'pose': (-0.0023838141498978204, 0.0033332060250522008)}
{'slip': 3.997850177179758e-07, 'pose': (-0.002384768641971538, 0.0033346907631773576)}
{'slip': 3.999185501247342e-07, 'pose': (-0.0023857231685290407, 0.0033361754945096774)}
{'slip': 4.0005206601641917e-07, 'pose': (-0.0023866777295700617, 0.0033376602190488378)}
{'slip': 4.001855952319493e-07, 'pose': (-0.0023876323250943384, 0.003339144936794482)}
{'slip': 4.0031911491382096e-07, 'pose': (-0.002388586955101612, 0.00334062964774626)}
{'slip': 4.004526358011648e-07, 'pose': (-0.0023895416195916204, 0.0033421143519038574)}
{'slip': 4.0058616083240486e-07, 'pose': (-0.0023904963185641045, 0.0033435990492669257)}
{'slip': 4.0071967201569677e-07, 'pose': (-0.002391451052018801, 0.0033450837398351168)}
{'slip': 4.008531956368323e-07, 'pose': (-0.0023924058199554597, 0.0033465684236081024)}
{'slip': 4.009867117139898e-07, 'pose': (-0.002393360622373804, 0.003348053100585547)}
{'slip': 4.0112022576188083e-07, 'pose': (-0.002394315459273582, 0.0033495377707671147)}
{'slip': 4.012537465674209e-07, 'pose': (-0.0023952703306545312, 0.0033510224341524583)}
{'slip': 4.0138722975217333e-07, 'pose': (-0.0023962252365163925, 0.0033525070907412277)}
{'slip': 4.015207464149087e-07, 'pose': (-0.002397180176858898, 0.0033539917405331025)}
{'slip': 4.0165425862024267e-07, 'pose': (-0.0023981351516817956, 0.0033554763835277495)}
{'slip': 4.017877674258715e-07, 'pose': (-0.002399090160984824, 0.0033569610197248336)}
{'slip': 4.0192128287464403e-07, 'pose': (-0.0024000452047676967, 0.003358445649124023)}
{'slip': 4.020547881032749e-07, 'pose': (-0.0024010002830301665, 0.0033599302717249855)}
{'slip': 4.021883021499484e-07, 'pose': (-0.002401955395772007, 0.0033614148875273876)}
{'slip': 4.023218073084787e-07, 'pose': (-0.0024029105429929226, 0.003362899496530854)}
{'slip': 4.0245531107968346e-07, 'pose': (-0.0024038657246926616, 0.0033643840987350702)}
{'slip': 4.0258882080949347e-07, 'pose': (-0.002404820940870962, 0.0033658686941396986)}
{'slip': 4.027223204702333e-07, 'pose': (-0.0024057761915275613, 0.00336735328274439)}
{'slip': 4.028558291285546e-07, 'pose': (-0.0024067314766622015, 0.0033688378645488136)}
{'slip': 4.029893286867459e-07, 'pose': (-0.0024076867962746175, 0.0033703224395526467)}
{'slip': 4.031228274933342e-07, 'pose': (-0.002408642150364547, 0.0033718070077555285)}
{'slip': 4.032563322660757e-07, 'pose': (-0.00240959753893174, 0.0033732915691571407)}
{'slip': 4.033898359797988e-07, 'pose': (-0.002410552961975924, 0.0033747761237571334)}
{'slip': 4.0352333838407977e-07, 'pose': (-0.0024115084194968424, 0.0033762606715551876)}
{'slip': 4.036568031141867e-07, 'pose': (-0.0024124639114942257, 0.0033777452125509926)}
{'slip': 4.037902960882268e-07, 'pose': (-0.002413419437967825, 0.00337922974674415)}
{'slip': 4.039237946068633e-07, 'pose': (-0.0024143749989173737, 0.003380714274134341)}
{'slip': 4.040572929259078e-07, 'pose': (-0.0024153305943426127, 0.003382198794721219)}
{'slip': 0.0009098476474623807, 'pose': (-0.0024436987162437486, 0.0033926463604636724)}
{'slip': 0.0030215539224329236, 'pose': (-0.0028982704917652462, 0.0037320306410696742)}
{'slip': 0.0022032775832257685, 'pose': (-0.003495102747375348, 0.00468941610809376)}
{'slip': 0.0030996798019630577, 'pose': (-0.004125257976074856, 0.006173399226373129)}
{'slip': 0.004042456638053412, 'pose': (-0.005121445669660866, 0.008183861231099964)}
{'slip': 0.0025810914702953202, 'pose': (-0.006372719289294983, 0.010922158699574292)}
{'slip': 0.2987605229633185, 'pose': (-0.007497427103391441, 0.014550456186218285)}
{'slip': 0.2813618021306899, 'pose': (-0.007091009914493537, 0.019345952271764125)}
{'slip': 0.26191474693037, 'pose': (-0.0031967938339094544, 0.025538512021297193)}
{'slip': 0.24696905575311462, 'pose': (0.003432400547924526, 0.032695438681303195)}
{'slip': 0.23977201210096077, 'pose': (0.012483257982103852, 0.040638725750058474)}
{'slip': 0.22422470958788168, 'pose': (0.023467402464446754, 0.0493228451668089)}
{'slip': 0.22074839520586031, 'pose': (0.03572655617761417, 0.05830570053043392)}
{'slip': 0.212247559078308, 'pose': (0.05016142396873953, 0.06805113903630915)}
{'slip': 0.23229243339589997, 'pose': (0.06176169206547558, 0.07837638431766702)}
{'slip': 0.23081751632148956, 'pose': (0.07189208856886015, 0.08911756682469936)}
{'slip': 0.22511565942656575, 'pose': (0.08353491327336814, 0.09912775143679096)}
{'slip': 0.1907132736065174, 'pose': (0.09998400980964255, 0.1079073960173938)}
{'slip': 0.16012138259975653, 'pose': (0.12236299137054234, 0.11702830918397837)}
{'slip': 0.1305503774221842, 'pose': (0.15216190264082302, 0.12907144907358786)}
{'slip': 0.11827496442430988, 'pose': (0.18394439315668518, 0.14353347790470802)}
{'slip': 0.15889277900370244, 'pose': (0.21362515367257673, 0.16129166882193138)}
{'slip': 0.14517686076768083, 'pose': (0.23441836160310084, 0.18162573343770316)}
{'slip': 0.13085462194887262, 'pose': (0.2577655373806068, 0.2034188177688119)}
{'slip': 0.09859632794431894, 'pose': (0.28496260016664626, 0.22978171415727144)}
{'slip': 0.029729852477274166, 'pose': (0.3208993212221689, 0.26159895111800124)}
